وِصِلْني إنْذار مِن الْبوْليس.‌,I received a notice from the police.,,,,,,,,,201
إنْكْليزي,English,,noun; adjective,,,,,,,202
الِكْتاب بِالإنْكْليزي.‌,The book is in English.,,,,,,,,,203
آنِسِة,miss,,noun,,,,,,,204
آنِسِة نور مْعلِّمْتي.‌,Miss Nour is my teacher.,,,,,,,,,205
إنْفِرادي,single,,adjective,,,,,,,206
حجزِت غِرْفِة إنْفِرادية.‌,I booked a single room.,,,,,,,,,207
إنّو,that,,conjunction,,,,,,,208
أنا مْأكّد إنّو لح يِتِّصِل قريباً.‌,I'm sure that he'll call soon.,,,,,,,,,209
نِحْنا كْتير مبْسوطين إنّو شِفْناك.‌,We are very happy to see you.,,,,,,,,,210
قالِت إنّو بْتِشْتِغِل هوْن.‌,She said that she works here.,,,,,,,,,211
أهْبل,silly;stupid,,adjective,feminine,هبْلا,,plural,هِبِل,,212
هَيْدي البِنِت هبْلا.‌,This girl is silly.,,,,,,,,,213
أهِل,parents,,noun,plural,أهالي,,,,,214
أهْلي عايْشين حدّي.‌,My parents live next to me.,,,,,,,,,215
أهْلاً,welcome,,interjection,,,,,,,216
أهْلاً! قْعود هوْن!‌,Welcome! Sit here!,,,,,,,,,217
أَوْ,or,,conjunction,,,,,,,218
بدّك دْجاج أَوْ سمك؟‌,Do you want chicken or fish?,,,,,,,,,219
أَوْ... أَوْ...‌,either… or…,,conjunction,,,,,,,220
بدّي أَوْ الشّوْكوْلا أَوْ الكيْك.‌,I want either the chocolate or the cake.,,,,,,,,,221
أوْتيْل,hotel,,noun,,,,,,,222
الأوْتيْل أرْبع نْجوم.‌,The hotel is four stars.,,,,,,,,,223
أوروبّا,Europe,,noun (no plural); f.,,,,,,,224
إيطالْيا بِأُوْروْبّا.‌,Italy is in Europe.,,,,,,,,,225
أوْضة,room,,noun,plural,أُوَض,,,,,226
دهنِت الأوْضة زهِر.‌,She painted the room pink.,,,,,,,,,227
أوْضِةْ قعْدِة‌,living room,,noun,,,,,,,228
شْتريْت كنبايِة لأوضِةْ القعْدِة.‌,I bought a sofa for the living room.,,,,,,,,,229
أوْضِةْ نوْم‌,bedroom,,noun,,,,,,,230
سارة عم تْفتِّش عَ شِقّة فِيا أوْضِةْ نوْم وِحْدِة.‌,Sarah is looking for an apartment with one bedroom.,,,,,,,,,231
أَوْقات,sometimes,,adverb,,,,,,,232
أَوْقات بِشْتِغِل الأحد.‌,Sometimes I work on Sunday.,,,,,,,,,233
أوْكيْ,okay;all right,,interjection,,,,,,,234
"أوْكيْ، لح إجي بُكْرا!‌",Okay;I will come tomorrow!,,,,,,,,,235
أوّل,first;best;top,,adjective,plural,أَوْلانية,,,,,236
حَيَواني الأليف الأوّل كان بْسَيْنِة.‌,My first pet was a cat.,,,,,,,,,237
هُوِّ التِّلْميذ الأوّل بِالصّف.‌,He's the top student in the class.,,,,,,,,,238
أيْ,yes,,interjection,,,,,,,239
"أيْ، بعْرِف.‌",Yes;I know,,,,,,,,,240
أيّ,any,,determiner,also,أيّا,,,,,241
خْتار أيّ لوْن.‌,Choose any color.,,,,,,,,,242
أيّ حدا‌,anyone;anybody,,pronoun,,,,,,,243
بيصدِّق أيّ حدا.‌,He believes anybody.,,,,,,,,,244
أيّ شي‌,anything;whatever,,pronoun,,,,,,,245
بدّي إحْضر أيّ شي عالتِّلْفِزْيوْن.‌,I want to watch whatever on TV.,,,,,,,,,246
أيّ وَقِت‌,anytime,,adverb,,,,,,,247
فيك تْزورْني أيّ وَقِت.‌,You can visit me anytime.,,,,,,,,,248
أيّا,which,,determiner,,,,,,,249
أيّا فيلْم بدّك تِحْضر؟‌,Which movie do you want to watch?,,,,,,,,,250
أيّار,May,,noun (no plural),,,,,,,251
شهِر حْزَيْران بعْد أيّار.‌,The month of June is after May.,,,,,,,,,252
إيد,hand;arm,,noun; f.,plural,إيديْن,,,,,253
بِكْتُب بِإيدي الشّْمال.‌,I write with my left hand.,,,,,,,,,254
عِنْدو علامِة عَ إيدو.‌,He has a mark on his arm.,,,,,,,,,255
إيطالي,Italian,,adjective,,,,,,,256
بْحِبّ الأكِل الإيطالي.‌,I love Italian food.,,,,,,,,,257
إيطالْيا,Italy,,noun (no plural); f.,,,,,,,258
هُوِّ مِن إيطالْيا.‌,He is from Italy.,,,,,,,,,259
أَيْلول,September,,noun (no plural),,,,,,,260
عيد ميلادي بِأَيْلول.‌,My birthday is in September.,,,,,,,,,261
أَيْمْتى,when,,adverb,,,,,,,262
أَيْمْتى رْجِعِت عَ بَيْروت؟‌,When did you get back to Beirut?,,,,,,,,,263
إيميْل,email,,noun,,,,,,,264
بعتِّلّك إيميْل.‌,I sent you an email.,,,,,,,,,265
بِـ,in;at,,preposition,also,بْـ,,,,,266
بْعيش بِمدينِة كْبيرِة.‌,I live in a big city.,,,,,,,,,267
الِوْلاد بِالمدْرسِة.‌,The children are at school.,,,,,,,,,268
باب,door,,noun,plural,بْواب,,,,,269
ليْش الباب مفْتوح؟‌,Why is the door open?,,,,,,,,,270
بابا,dad,,noun (no plural),,,,,,,271
بابا شْترى سِيّارة جْديدِة.‌,My dad bought a new car.,,,,,,,,,272
بارِد,cold;cool,,adjective,elative,أبْرد,,,,,273
الأكِل بارِد.‌,The food is cold.,,,,,,,,,274
بارْكينْغ,parking lot,,noun,,,,,,,275
البارْكينْغ ملْيان سِيّارات.‌,The parking lot is full of cars.,,,,,,,,,276
باس,kiss,,verb,imperfect,يْبوس,,,,,277
بِلِبْنان مِنْبوس تْلات مرّات.‌,In Lebanon;we kiss three times.,,,,,,,,,278
باسْكِت (بوْل),basketball,,noun (no plural),,,,,,,279
حْضِرِت مُباراةْ باسْكِت عالتّي في.‌,I watched the basketball game on TV.,,,,,,,,,280
باص,bus,,noun,,,,,,,281
لَويْن رايِح هَيْدا الباص؟‌,Where does this bus go?,,,,,,,,,282
باع,sell,,verb,imperfect,يْبيع,,,,,283
باع سِيّارْتو.‌,He sold his car.,,,,,,,,,284
بِالتّأْكيد,absolutely,,adverb,,,,,,,285
فُسْتان العروسة كان بِالتّأْكيد حِلو.‌,The bride's dress was absolutely beautiful.,,,,,,,,,286
بِالظّبِط,exactly,,adverb,,,,,,,287
الطّيّارة بْتِتْرُك بعْد بِالظّبِط خمْس دْقايِق.‌,The plane leaves after exactly five minutes.,,,,,,,,,288
بِالفِعِل,quite;really,,adverb,,,,,,,289
أنا بِالفِعِل تعْبان اليوْم.‌,I am quite tired today.,,,,,,,,,290
بالوْن,balloon,,noun,plural,بلاوين,,,,,291
كان في كْتير بلاوين مْلوّنِة بِالحفْلِة.‌,There were a lot of colorful balloons at the party.,,,,,,,,,292
باي,goodbye;bye,,interjection,,,,,,,293
"باي، بْشوفك قريباً.‌",Bye! See you soon!,,,,,,,,,294
بِبلاش,(for) free,,adverb,,,,,,,295
"بسّ تِشْتْري تْنيْن مُنْتج، الأرْخص بِبلاش.‌",When you buy two products;the cheaper is free.,,,,,,,,,296
بْتسم,smile,,verb,imperfect,يِبْتِسِم,,,,,297
بْتسم للصّورة.‌,He smiled for the photograph.,,,,,,,,,298
بحِر,seaside;beach,,noun,plural,بْحور,,,,,299
الجّزيرة بِنُصّ البحِر.‌,The island is in the middle of the sea.,,,,,,,,,300
بْحِبّ روح عالبحِر بِالصَّيْفية.‌,I love going to the beach in the summer.,,,,,,,,,301
بُخار,steam,,noun (no plural),,,,,,,302
الحمّام كان ملْيان بُخار.‌,The bathroom was full of steam.,,,,,,,,,303
بِخْصوص,about,,preposition,,,,,,,304
أنا مبْسوط بِخْصوص النّتيجِة.‌,I am happy about the results.,,,,,,,,,305
بِدايِة,beginning,,noun,,,,,,,306
قْرا الرِّسالِة مِن البِدايِة.‌,Read the letter from the beginning.,,,,,,,,,307
بدّل,change,,verb,imperfect,يْبدِّل,,,,,308
بدّل تْيابو بعْد النّادي.‌,He changed his clothes after the gym.,,,,,,,,,309
بدّو,want;need;require,,pseudo-verb,,,,,,,310
بدّي قهْوِة.‌,I want coffee.,,,,,,,,,311
ما بدّي روح لحالي.‌,I don't want to go alone.,,,,,,,,,312
بدّا مُساعدِة.‌,She needs help.,,,,,,,,,313
النّبات بدُّن شْوَيِّة ميّ.‌,The plants need some water.,,,,,,,,,314
بِدون,without,,preposition,,,,,,,315
